id,user_id,user_type,business_name,business_list_type,business_list_id,business_slug,business_image,business_review_count,business_rating,business_lattitude,business_longitude,business_address_1,business_address_2,business_address_3,business_city,business_state,business_country,business_phone,business_email,business_zipcode,business_abn,business_website_url,business_default_hours,business_working_hours,business_about,business_services,callout,show_on_home,meta_title,meta_description,meta_keyword,business_review_url,created_at,updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,admin,VIP Plumbing Services Melbourne,trustpilot,5dad6773f98d59000174f961,vip-plumbing-services-melbourne,//s3-eu-west-1.amazonaws.com/tpd/logos/5dad6773f98d59000174f961/0x0.png,2,3.8,0,0,Elizabeth St,,,Melbourne,Melbourne,AU,1300912255,NULL,3000,NULL,www.vipplumbingservicesmelbourne.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/www.vipplumbingservicesmelbourne.com.au,17/10/2020 23:54,17/10/2020 23:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,admin,Quality Air,trustpilot,5ea0bf81b2a2370001586b96,quality-air,,0,3.5,0,0,,,,Brisbane,Brisbane,AU,,NULL,4170,NULL,qualityac.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/qualityac.com.au,17/10/2020 23:54,17/10/2020 23:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,admin,Coilcleanservices,trustpilot,5d52369a2d07e200011465bd,coilcleanservices,,0,3.5,0,0,Excelsior Avenue,,,Castle Hill,Castle Hill,AU,0447 112 952,NULL,2154,NULL,coilcleanservices.com,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/coilcleanservices.com,17/10/2020 23:54,17/10/2020 23:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,admin,Twin Electrics & Plumbing,trustpilot,5ebcd9485ea6f2000168b3bd,twin-electrics-plumbing,//s3-eu-west-1.amazonaws.com/tpd/logos/5ebcd9485ea6f2000168b3bd/0x0.png,0,3.5,0,0,1 Leslie Ct,,,,,,,,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,admin,Quick Air,trustpilot,5f6da41e8f297a0001de0c74,quick-air,//s3-eu-west-1.amazonaws.com/tpd/logos/5f6da41e8f297a0001de0c74/0x0.png,0,3.5,0,0,22 Fitzroy St,,,,,,,,3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,admin,Mr Stoves Fireplaces & Airconditioning,trustpilot,5dc08dd5066adb0001464f2f,mr-stoves-fireplaces-airconditioning,,0,3.5,0,0,8 Machinery St,,,Darra,Darra,AU,733751464,NULL,4076,NULL,www.mrstoves.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/www.mrstoves.com.au,17/10/2020 23:56,17/10/2020 23:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,admin,Advanced Air Conditioning,trustpilot,5a6d19ee6e64fe0001b5a9d6,advanced-air-conditioning,//s3-eu-west-1.amazonaws.com/tpd/logos/5a6d19ee6e64fe0001b5a9d6/0x0.png,2,3.8,0,0,3/263 Toombul Road,,,Northgate,Northgate,AU,(07)32566033,NULL,4013,NULL,www.advair.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/www.advair.com.au,17/10/2020 23:58,17/10/2020 23:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,admin,Nveservices,trustpilot,5bef9d10b1ab5e000108c12a,nveservices,//s3-eu-west-1.amazonaws.com/tpd/logos/5bef9d10b1ab5e000108c12a/0x0.png,0,3.5,0,0,,,,sydney,sydney,AU,406837111,NULL,2205,NULL,nveservices.com,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/nveservices.com,17/10/2020 23:58,17/10/2020 23:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,admin,airXpertise,trustpilot,5ed492898e24d000014ec2fb,airxpertise,//s3-eu-west-1.amazonaws.com/tpd/logos/5ed492898e24d000014ec2fb/0x0.png,0,3.5,0,0,9 Libbett Avenue,,,Clayton South,Clayton South,AU,466736299,NULL,3169,NULL,airxpertise.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/airxpertise.com.au,17/10/2020 23:58,17/10/2020 23:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,admin,Air Conditioning Installation Gold Coast,trustpilot,5dbb95da78052800015ca477,air-conditioning-installation-gold-coast,,0,3.5,0,0,249 Scottsdale Drive,,,Robina,Robina,AU,0434 196 502,NULL,4226,NULL,airconditioninginstallationgoldcoast.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/airconditioninginstallationgoldcoast.com.au,17/10/2020 23:58,17/10/2020 23:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
